profile,runs,mon_lines,prod_hz_mean,prod_hz_std,proc_hz_mean,proc_hz_std,batch_avg_us_mean,batch_avg_us_std,batch_avg_us_p50,batch_avg_us_p95,e2e_avg_us_mean,e2e_avg_us_std,e2e_avg_us_p50,e2e_avg_us_p95,q_used_mean,q_used_std,q_peak_mean,q_peak_std,dropped_max
prod_os,3,73,250.02,0.35,250.03,14.72,389870.5,396.6,390077.0,390264.0,389891.0,396.6,390097.5,390284.5,36.70,32.13,75.18,39.57,0
prod_o2,3,69,250.03,0.14,251.99,0.06,241282.2,442.9,241281.5,241870.5,241301.1,443.0,241300.5,241889.5,0.00,0.00,1.00,0.00,0
