acq,proc,mon,idle0,idle1,other,total_ticks,tasks
1.32,45.54,1.47,96.5,54.37,0.64,4653414,8
1.32,46.88,1.35,97.04,53.09,0.28,10727414,8
1.32,47.3,1.3,97.2,52.68,0.18,16801386,8
1.32,47.51,1.28,97.27,52.48,0.13,22875341,8
1.32,46.8,1.27,97.3,52.49,0.1,28949567,8
1.32,47.03,1.27,97.33,52.59,0.09,35023524,8
1.32,47.19,1.26,97.34,52.65,0.07,41097743,8
1.31,47.31,1.26,97.36,52.68,0.06,47172591,8
1.31,47.4,1.26,97.37,52.59,0.06,53247679,8
1.31,47.46,1.26,97.38,52.53,0.05,59322728,8
1.31,47.51,1.25,97.38,52.49,0.05,65397735,8
1.31,47.21,1.25,97.39,52.47,0.04,71472785,8
1.31,47.28,1.26,97.39,52.51,0.04,77547782,8
1.31,47.34,1.26,97.39,52.55,0.04,83622821,8
1.31,47.39,1.25,97.39,52.58,0.03,89697735,8
1.32,47.43,1.25,97.4,52.56,0.03,95772679,8
1.32,47.47,1.25,97.4,52.52,0.03,101847768,8
1.32,47.51,1.25,97.4,52.49,0.03,107922817,8
1.32,47.54,1.25,97.4,52.46,0.03,113997924,8
1.32,47.37,1.25,97.4,52.47,0.03,120072874,8
1.32,47.4,1.25,97.4,52.5,0.02,126147873,8
1.32,47.44,1.26,97.4,52.52,0.02,132222828,8
1.32,47.47,1.25,97.41,52.53,0.02,138297820,8
1.32,47.49,1.26,97.41,52.51,0.02,144372769,8
1.32,47.52,1.26,97.41,52.48,0.02,150447768,8
