esp_uptime_ms,q_used,q_free,q_peak,produced_count,produced_hz,processed_count,processed_hz,dropped,batches,proc_est_pct,batch_us_avg,batch_us_min,batch_us_max,e2e_us_avg,e2e_us_min,e2e_us_max,stack_acq_b,stack_proc_b,stack_mon_b,heap8_free_b,heap8_largest_b
281,1,499,1,1,1.0,0,0.0,0,0,0.00,0.0,4294967295,0,0.0,4294967295,0,6148,15480,5472,149896,110592
1307,1,499,1,257,249.5,248,241.7,0,31,94.08,31139.0,31123,31348,43921.8,31266,56534,6148,15480,4096,149656,110592
2323,7,493,7,511,250.0,496,244.1,0,62,94.98,31130.4,31123,31348,31167.1,31145,56534,6148,15480,4096,149656,110592
3340,6,494,7,766,250.7,752,251.7,0,94,97.95,31130.0,31123,31348,31166.7,31145,56534,6148,15480,4096,149656,110592
4356,4,496,7,1020,250.0,1008,252.0,0,126,98.09,31142.6,31123,31348,31179.7,31145,56534,6148,15480,4096,149656,110592
5372,2,498,7,1274,250.0,1264,252.0,0,158,98.20,31178.9,31123,31348,31216.8,31145,56534,6148,15480,4096,149656,110592
6388,0,500,7,1528,250.0,1520,252.0,0,190,98.24,31192.3,31123,31348,31230.8,31145,56534,6148,15480,4000,149560,110592
7404,6,494,7,1782,250.0,1768,244.1,0,221,95.16,31186.6,31123,31348,31225.1,31145,56534,6148,15480,4000,149560,110592
8420,4,496,7,2036,250.0,2024,252.0,0,253,98.66,31324.4,31123,31408,31363.7,31145,56534,6148,15480,4000,149560,110592
9436,2,498,7,2290,250.0,2280,252.0,0,285,98.89,31398.3,31123,31442,31448.2,31145,56534,6148,15480,4000,149560,110592
10452,0,500,7,2544,250.0,2536,252.0,0,317,99.03,31441.8,31123,31506,31490.8,31145,56534,6148,15480,4000,149560,110592
11468,6,494,7,2798,250.0,2784,244.1,0,348,96.29,31559.2,31123,31634,31623.6,31145,56534,6148,15480,4000,149560,110592
12484,4,496,7,3052,250.0,3040,252.0,0,380,99.64,31634.5,31123,31656,31713.8,31145,56534,6148,15480,4000,149560,110592
13500,2,498,7,3306,250.0,3296,252.0,0,412,99.57,31612.4,31123,31663,31740.0,31145,56534,6148,14424,4000,149340,110592
14516,0,500,7,3560,250.0,3552,252.0,0,444,99.51,31594.9,31123,31677,31762.9,31145,56534,6148,14424,4000,149340,110592
15532,6,494,7,3814,250.0,3800,244.1,0,475,96.47,31616.0,31123,31751,31697.5,31145,56534,6148,14424,4000,149340,110592
16548,4,496,7,4068,250.0,4056,252.0,0,507,99.61,31624.6,31123,31751,31695.6,31145,56534,6148,14424,4000,149340,110592
17564,2,498,7,4322,250.0,4312,252.0,0,539,99.53,31602.3,31123,31751,35944.3,31145,56534,6148,14408,4000,149340,110592
18580,0,500,7,4576,250.0,4568,252.0,0,571,99.68,31647.5,31123,31751,32641.8,31145,56534,6148,14408,4000,149340,110592
19600,7,493,7,4831,250.0,4816,243.1,0,602,96.14,31633.1,31123,31782,31763.5,31145,56534,6148,14408,4000,149340,110592
20616,5,495,7,5085,250.0,5072,252.0,0,634,99.25,31513.2,31123,31782,31577.6,31145,56534,6148,14408,4000,149340,110592
21632,3,497,7,5339,250.0,5328,252.0,0,666,98.98,31426.8,31123,31782,31476.8,31145,56534,6148,14408,4000,149340,110592
22648,1,499,7,5593,250.0,5584,252.0,0,698,99.03,31443.5,31123,31782,31496.5,31145,56534,6084,14408,4000,149340,110592
23664,7,493,7,5847,250.0,5832,244.1,0,729,95.81,31402.4,31123,31782,31456.9,31145,56534,6084,14408,4000,149340,110592
24680,5,495,7,6101,250.0,6088,252.0,0,761,98.93,31411.7,31123,31782,31457.2,31145,56534,6084,14408,4000,149340,110592
25696,3,497,7,6355,250.0,6344,252.0,0,793,99.25,31511.8,31123,31782,31567.4,31145,56534,6084,14408,4000,149340,110592
26712,1,499,7,6609,250.0,6600,252.0,0,825,99.54,31604.6,31123,31782,31672.2,31145,56534,6084,14408,4000,149340,110592
27728,7,493,7,6863,250.0,6848,244.1,0,856,96.36,31579.8,31123,31782,31648.9,31145,56534,6084,14408,4000,149340,110592
28744,5,495,7,7117,250.0,7104,252.0,0,888,99.33,31538.5,31123,31782,31601.3,31145,56534,6084,14408,4000,149340,110592
29760,3,497,7,7371,250.0,7360,252.0,0,920,99.48,31584.5,31123,31782,31648.4,31145,56534,6084,14408,4000,149340,110592
30776,1,499,7,7625,250.0,7616,252.0,0,952,99.62,31630.7,31123,31782,31710.2,31145,56534,6084,14408,4000,149340,110592
31792,7,493,7,7879,250.0,7864,244.1,0,983,96.25,31546.5,31123,31782,31611.0,31145,56534,6084,14408,4000,149340,110592
32808,5,495,7,8133,250.0,8120,252.0,0,1015,99.50,31590.9,31123,31782,31656.6,31145,56534,6084,14408,4000,149340,110592
33824,3,497,7,8387,250.0,8376,252.0,0,1047,99.27,31518.7,31123,31782,31577.8,31145,56534,6084,14408,4000,149340,110592
34840,1,499,7,8641,250.0,8632,252.0,0,1079,99.34,31540.3,31123,31782,31605.3,31145,56534,6084,14408,4000,149340,110592
35856,7,493,7,8895,250.0,8880,244.1,0,1110,96.41,31596.8,31123,31782,31665.8,31145,56534,6084,14408,4000,149340,110592
36872,5,495,7,9149,250.0,9136,252.0,0,1142,99.67,31646.7,31123,31782,31730.9,31145,56534,6084,14408,4000,149340,110592
37888,3,497,7,9403,250.0,9392,252.0,0,1174,99.52,31598.6,31123,31782,39645.0,31145,56534,6084,14296,4000,149340,110592
38904,1,499,7,9657,250.0,9648,252.0,0,1206,99.49,31586.6,31123,31782,32063.4,31145,56534,6084,14296,4000,149340,110592
39920,7,493,7,9911,250.0,9896,244.1,0,1237,96.55,31643.8,31123,31782,31731.0,31145,56534,6084,14296,4000,149340,110592
40936,5,495,7,10165,250.0,10152,252.0,0,1269,99.47,31581.2,31123,31782,44810.8,31145,56534,6084,14296,4000,149340,110592
41952,3,497,7,10419,250.0,10408,252.0,0,1301,99.44,31572.7,31123,31782,33415.9,31145,56534,6084,14296,4000,149340,110592
42968,1,499,7,10673,250.0,10664,252.0,0,1333,99.48,31583.9,31123,31782,31661.2,31145,56534,6084,14296,4000,149340,110592
43984,7,493,7,10927,250.0,10912,244.1,0,1364,96.00,31462.6,31123,31782,31524.3,31145,56534,6084,14296,4000,149340,110592
45001,5,495,7,11181,249.8,11168,251.7,0,1396,99.05,31480.6,31123,31782,31538.5,31145,56534,6084,14296,4000,149340,110592
46017,3,497,7,11435,250.0,11424,252.0,0,1428,98.83,31378.1,31123,31782,31428.6,31145,56534,6084,14296,4000,149340,110592
47033,1,499,7,11689,250.0,11680,252.0,0,1460,98.74,31348.6,31123,31782,31393.2,31145,56534,6084,14296,4000,149340,110592
48049,7,493,7,11943,250.0,11928,244.1,0,1491,95.73,31373.4,31123,31782,31416.1,31145,56534,6084,14296,4000,149340,110592
49065,5,495,7,12197,250.0,12184,252.0,0,1523,98.91,31402.7,31123,31782,31443.6,31145,56534,6084,14296,4000,149340,110592
50081,3,497,7,12451,250.0,12440,252.0,0,1555,99.11,31468.8,31123,31782,31521.5,31145,56534,6084,14296,4000,149340,110592
51097,1,499,7,12705,250.0,12696,252.0,0,1587,99.03,31443.5,31123,31782,31490.0,31145,56534,6084,14296,4000,149340,110592
52113,7,493,7,12959,250.0,12944,244.1,0,1618,96.36,31581.6,31123,31782,31655.8,31145,56534,6084,14296,4000,149340,110592
53129,5,495,7,13213,250.0,13200,252.0,0,1650,98.99,31430.4,31123,31782,31477.4,31145,56534,6084,14296,4000,149340,110592
54145,3,497,7,13467,250.0,13456,252.0,0,1682,99.20,31497.0,31123,31782,31549.5,31145,56534,6084,14296,4000,149340,110592
55161,1,499,7,13721,250.0,13712,252.0,0,1714,99.33,31537.8,31123,31782,31594.1,31145,56534,6084,14296,4000,149340,110592
56177,7,493,7,13975,250.0,13960,244.1,0,1745,96.37,31584.3,31123,31782,31648.0,31145,56534,6084,14296,4000,149340,110592
57193,5,495,7,14229,250.0,14216,252.0,0,1777,99.58,31615.2,31123,31782,31691.2,31145,56534,6084,14296,4000,149340,110592
58209,3,497,7,14483,250.0,14472,252.0,0,1809,99.25,31513.2,31123,31782,31569.4,31145,56534,6084,14296,4000,149340,110592
59225,1,499,7,14737,250.0,14728,252.0,0,1841,99.04,31444.4,31123,31782,31487.2,31145,56534,6084,14296,4000,149340,110592
60241,7,493,7,14991,250.0,14976,244.1,0,1872,95.73,31374.9,31123,31782,31419.4,31145,56534,6084,14296,4000,149340,110592
61257,5,495,7,15245,250.0,15232,252.0,0,1904,98.77,31361.0,31123,31782,31401.6,31145,56534,6084,14296,4000,149340,110592
62273,3,497,7,15499,250.0,15488,252.0,0,1936,98.97,31423.3,31123,31782,31471.9,31145,56534,6084,14296,4000,149340,110592
63289,1,499,7,15753,250.0,15744,252.0,0,1968,98.50,31274.2,31123,31782,31310.2,31145,56534,6084,14296,4000,149340,110592
64305,7,493,7,16007,250.0,15992,244.1,0,1999,95.29,31231.8,31123,31782,31271.4,31145,56534,6084,14296,4000,149340,110592
65321,5,495,7,16261,250.0,16248,252.0,0,2031,98.10,31146.6,31123,31782,31179.5,31144,56534,6084,14296,4000,149340,110592
66337,3,497,7,16515,250.0,16504,252.0,0,2063,98.04,31126.1,31123,31782,31159.7,31144,56534,6084,14296,4000,149340,110592
67353,1,499,7,16769,250.0,16760,252.0,0,2095,98.04,31126.5,31123,31782,31159.4,31144,56534,6084,14296,4000,149340,110592
68369,7,493,7,17023,250.0,17008,244.1,0,2126,95.08,31162.0,31123,31782,31196.3,31144,56534,6084,14296,4000,149340,110592
69385,5,495,7,17277,250.0,17264,252.0,0,2158,98.53,31282.5,31123,31782,31322.5,31144,56534,6084,14296,4000,149340,110592
70401,3,497,7,17531,250.0,17520,252.0,0,2190,98.74,31350.1,31123,31782,31396.1,31144,56534,6084,14296,4000,149340,110592
71417,1,499,7,17785,250.0,17776,252.0,0,2222,98.82,31376.8,31123,31782,31421.5,31144,56534,6084,14296,4000,149340,110592
72433,7,493,7,18039,250.0,18024,244.1,0,2253,96.02,31470.0,31123,31782,31525.6,31144,56534,6084,14296,4000,149340,110592
73449,5,495,7,18293,250.0,18280,252.0,0,2285,99.31,31529.8,31123,31782,31600.3,31144,56534,6084,14296,4000,149340,110592
74465,3,497,7,18547,250.0,18536,252.0,0,2317,99.09,31459.7,31123,31782,31514.7,31144,56534,6084,14296,4000,149340,110592
75481,1,499,7,18801,250.0,18792,252.0,0,2349,99.03,31442.6,31123,31782,31488.6,31144,56534,6084,14296,4000,149340,110592
