esp_uptime_ms,q_used,q_free,q_peak,produced_count,produced_hz,processed_count,processed_hz,dropped,batches,proc_est_pct,batch_us_avg,batch_us_min,batch_us_max,e2e_us_avg,e2e_us_min,e2e_us_max,stack_acq_b,stack_proc_b,stack_mon_b,heap8_free_b,heap8_largest_b
281,1,499,1,1,1.0,0,0.0,0,0,0.00,0.0,4294967295,0,0.0,4294967295,0,6148,15368,5472,201160,110592
1307,1,499,1,257,249.5,192,187.1,0,3,6.29,21507.0,21425,21662,21527.0,21445,21682,6148,15368,4096,200920,110592
2323,0,500,1,511,250.0,448,252.0,0,7,8.43,21412.0,21382,21662,21432.2,21402,21682,6148,15368,4096,200920,110592
3340,0,500,1,766,250.7,704,251.7,0,11,8.42,21402.0,21382,21662,21422.0,21402,21682,6148,15368,4096,200824,110592
4356,0,500,1,1020,250.0,960,252.0,0,15,8.42,21395.8,21382,21662,21416.2,21402,21682,6148,15368,4096,200824,110592
5372,0,500,1,1274,250.0,1216,252.0,0,19,8.42,21390.0,21382,21662,21410.5,21402,21682,6148,15368,4096,200824,110592
6388,0,500,1,1528,250.0,1472,252.0,0,23,8.44,21440.0,21380,21662,21460.5,21402,21682,6148,15368,4096,200824,110592
7404,0,500,1,1782,250.0,1728,252.0,0,27,8.44,21448.8,21380,21662,21469.2,21402,21682,6148,15368,4096,200824,110592
8420,0,500,1,2036,250.0,1984,252.0,0,31,8.43,21409.0,21380,21662,21429.5,21402,21682,6148,15368,4096,200824,110592
9436,0,500,1,2290,250.0,2240,252.0,0,35,8.43,21419.5,21380,21662,21440.0,21402,21682,6148,15368,4096,200824,110592
10452,0,500,1,2544,250.0,2496,252.0,0,39,8.44,21439.0,21379,21662,21459.5,21401,21682,6148,15368,4096,200824,110592
11468,0,500,1,2798,250.0,2752,252.0,0,43,8.42,21391.8,21379,21662,21412.2,21401,21682,6148,15368,4096,200824,110592
12484,0,500,1,3052,250.0,3008,252.0,0,47,8.45,21466.2,21379,21662,21486.8,21401,21682,6148,15368,4096,200824,110592
13500,0,500,1,3306,250.0,3264,252.0,0,51,8.45,21452.2,21379,21662,21472.8,21401,21682,6148,15368,4096,200824,110592
14516,0,500,1,3560,250.0,3520,252.0,0,55,8.45,21468.2,21379,21662,21488.8,21401,21682,6148,15368,4096,200824,110592
15532,0,500,1,3814,250.0,3776,252.0,0,59,8.43,21411.5,21379,21662,21431.5,21401,21682,6148,15368,4096,200824,110592
16548,0,500,1,4068,250.0,4032,252.0,0,63,8.44,21449.2,21379,21662,21469.2,21401,21682,6148,15368,4096,200824,110592
17564,0,500,1,4322,250.0,4288,252.0,0,67,8.45,21470.0,21379,21662,21490.2,21401,21682,6148,15368,4096,200824,110592
18580,0,500,1,4576,250.0,4544,252.0,0,71,8.44,21447.2,21379,21662,21467.2,21401,21682,6148,15368,4096,200824,110592
19596,0,500,1,4830,250.0,4800,252.0,0,75,8.44,21426.2,21379,21662,21446.5,21401,21682,6148,15368,4096,200824,110592
20612,0,500,1,5084,250.0,5056,252.0,0,79,8.43,21409.0,21379,21662,21429.0,21399,21682,6148,15368,4096,200824,110592
21628,0,500,1,5338,250.0,5312,252.0,0,83,8.42,21387.2,21379,21662,21407.2,21399,21682,6148,15368,4096,200824,110592
22644,0,500,1,5592,250.0,5568,252.0,0,87,8.42,21392.2,21379,21662,21412.2,21399,21682,6084,15368,4096,200824,110592
23660,0,500,1,5846,250.0,5824,252.0,0,91,8.42,21399.0,21379,21662,21419.0,21399,21682,6084,15368,4096,200824,110592
24676,0,500,1,6100,250.0,6080,252.0,0,95,8.43,21405.0,21379,21662,21425.2,21399,21682,6084,15368,4096,200824,110592
25692,0,500,1,6354,250.0,6336,252.0,0,99,8.42,21389.5,21379,21662,21409.5,21399,21682,6084,15368,4096,200824,110592
26708,0,500,1,6608,250.0,6592,252.0,0,103,8.43,21423.0,21379,21662,21443.0,21399,21682,6084,15368,4096,200824,110592
27724,0,500,1,6862,250.0,6848,252.0,0,107,8.43,21412.0,21379,21662,21432.0,21399,21682,6084,15368,4096,200824,110592
28740,0,500,1,7116,250.0,7104,252.0,0,111,8.43,21399.8,21379,21662,21420.0,21399,21682,6084,15368,4096,200824,110592
29756,0,500,1,7370,250.0,7360,252.0,0,115,8.43,21401.0,21379,21662,21421.0,21399,21682,6084,15368,4096,200824,110592
30772,0,500,1,7624,250.0,7616,252.0,0,119,8.45,21470.2,21379,21662,21490.2,21399,21682,6084,15368,4096,200824,110592
31788,0,500,1,7878,250.0,7872,252.0,0,123,8.43,21401.2,21379,21662,21421.5,21399,21682,6084,15368,4096,200824,110592
32804,4,496,4,8132,250.0,8064,189.0,0,126,6.32,21394.7,21379,21662,21414.7,21399,21682,6084,15368,4096,200824,110592
33820,2,498,4,8386,250.0,8320,252.0,0,130,8.46,21480.5,21379,21662,21500.5,21399,21682,6084,15368,4096,200824,110592
