esp_uptime_ms,q_used,q_free,q_peak,produced_count,produced_hz,processed_count,processed_hz,dropped,batches,proc_est_pct,batch_us_avg,batch_us_min,batch_us_max,e2e_us_avg,e2e_us_min,e2e_us_max,stack_acq_b,stack_proc_b,stack_mon_b,heap8_free_b,heap8_largest_b
281,1,499,1,1,1.0,0,0.0,0,0,0.00,0.0,4294967295,0,0.0,4294967295,0,6148,15000,5472,201160,110592
1307,1,499,1,257,249.5,128,124.8,0,1,3.28,33626.0,33626,33626,33646.0,33646,33646,6148,15000,4096,200920,110592
2323,0,500,1,511,250.0,384,252.0,0,3,6.57,33353.0,33314,33626,33373.0,33334,33646,6148,15000,4096,200920,110592
3340,0,500,1,766,250.7,640,251.7,0,5,6.56,33341.0,33314,33626,33361.0,33334,33646,6148,15000,4096,200920,110592
4356,0,500,1,1020,250.0,896,252.0,0,7,6.56,33332.0,33314,33626,33353.0,33334,33646,6148,15000,4096,200920,110592
5372,0,500,1,1274,250.0,1152,252.0,0,9,6.56,33320.5,33314,33626,33342.0,33334,33646,6148,15000,4096,200920,110592
6388,0,500,1,1528,250.0,1408,252.0,0,11,6.57,33360.5,33311,33626,33382.0,33334,33646,6148,15000,4096,200920,110592
7404,0,500,1,1782,250.0,1664,252.0,0,13,6.57,33391.0,33311,33626,33412.0,33334,33646,6148,15000,4096,200920,110592
8420,0,500,1,2036,250.0,1920,252.0,0,15,6.56,33342.5,33311,33626,33364.0,33334,33646,6148,15000,4096,200920,110592
9436,0,500,1,2290,250.0,2176,252.0,0,17,6.57,33359.5,33311,33626,33380.5,33334,33646,6148,15000,4096,200920,110592
10452,0,500,1,2544,250.0,2432,252.0,0,19,6.57,33360.0,33311,33626,33381.5,33334,33646,6148,15000,4096,200920,110592
11468,0,500,1,2798,250.0,2688,252.0,0,21,6.56,33330.0,33311,33626,33351.0,33334,33646,6148,15000,4096,200920,110592
12484,0,500,1,3052,250.0,2944,252.0,0,23,6.57,33399.0,33311,33626,33420.5,33334,33646,6148,15000,4096,200920,110592
13500,0,500,1,3306,250.0,3200,252.0,0,25,6.57,33375.0,33311,33626,33396.0,33334,33646,6148,15000,4096,200920,110592
14516,0,500,1,3560,250.0,3456,252.0,0,27,6.58,33407.0,33311,33626,33428.5,33334,33646,6148,15000,4096,200920,110592
15532,0,500,1,3814,250.0,3712,252.0,0,29,6.56,33343.0,33311,33626,33363.0,33334,33646,6148,15000,4096,200920,110592
16548,0,500,1,4068,250.0,3968,252.0,0,31,6.57,33372.5,33311,33626,33392.5,33334,33646,6148,15000,4096,200920,110592
17564,0,500,1,4322,250.0,4224,252.0,0,33,6.58,33403.0,33311,33626,33423.0,33334,33646,6148,15000,4096,200920,110592
18580,0,500,1,4576,250.0,4480,252.0,0,35,6.57,33374.5,33311,33626,33394.5,33334,33646,6148,15000,4096,200920,110592
19596,0,500,1,4830,250.0,4736,252.0,0,37,6.57,33360.5,33311,33626,33380.5,33334,33646,6148,15000,4096,200920,110592
20612,0,500,1,5084,250.0,4992,252.0,0,39,6.56,33333.5,33311,33626,33353.5,33332,33646,6148,15000,4096,200920,110592
21628,0,500,1,5338,250.0,5248,252.0,0,41,6.56,33324.0,33311,33626,33344.0,33332,33646,6148,15000,4096,200920,110592
22644,0,500,1,5592,250.0,5504,252.0,0,43,6.56,33321.0,33311,33626,33341.0,33332,33646,6084,15000,4096,200920,110592
23660,0,500,1,5846,250.0,5760,252.0,0,45,6.56,33327.0,33311,33626,33347.0,33332,33646,6084,15000,4096,200920,110592
24676,0,500,1,6100,250.0,6016,252.0,0,47,6.56,33347.5,33311,33626,33367.5,33332,33646,6084,15000,4096,200920,110592
