esp_uptime_ms,q_used,q_free,q_peak,produced_count,produced_hz,processed_count,processed_hz,dropped,batches,proc_est_pct,batch_us_avg,batch_us_min,batch_us_max,e2e_us_avg,e2e_us_min,e2e_us_max,stack_acq_b,stack_proc_b,stack_mon_b,heap8_free_b,heap8_largest_b
281,1,499,1,1,1.0,0,0.0,0,0,0.00,0.0,4294967295,0,0.0,4294967295,0,6148,15672,5472,149896,110592
1307,220,280,220,257,249.5,36,35.1,0,36,92.41,26336.8,26329,26458,470605.4,77816,861620,6148,15672,4096,149656,110592
2323,435,65,435,511,250.0,75,38.4,0,75,101.08,26333.1,26325,26469,1308533.6,77816,1732941,6148,15672,4096,149656,110592
3341,500,0,500,615,102.2,114,38.3,151,114,100.86,26326.3,26320,26469,2179637.2,77816,2603986,6148,15672,4096,149656,110592
4358,500,0,500,653,37.4,152,37.4,367,152,98.37,26325.8,26320,26469,3039548.8,77816,3452678,6148,15672,4096,149560,110592
5375,500,0,500,692,38.3,191,38.3,582,191,100.97,26330.2,26320,26469,3899452.8,77816,4323872,6148,15672,4096,149560,110592
6392,500,0,500,731,38.3,230,38.3,798,230,100.96,26327.2,26320,26469,4770611.0,77816,5194949,6148,15672,4096,149560,110592
7409,500,0,500,769,37.4,268,37.4,1014,268,98.37,26327.8,26320,26469,5630529.0,77816,6043712,6148,15672,4096,149560,110592
8426,500,0,500,808,38.3,307,38.3,1229,307,100.96,26327.6,26320,26469,6490453.0,77816,6914806,6148,15672,4096,149560,110592
9443,500,0,500,846,37.4,345,37.4,1445,345,98.37,26326.7,26320,26469,7350339.5,77816,7763526,6148,15672,4096,149560,110592
10460,500,0,500,885,38.3,384,38.3,1661,384,100.96,26328.1,26320,26469,8210304.0,77816,8634636,6148,15672,4096,149560,110592
11477,500,0,500,924,38.3,423,38.3,1876,423,100.95,26325.6,26320,26469,9081339.0,77816,9505668,6148,15672,4096,149560,110592
12494,500,0,500,962,37.4,461,37.4,2092,461,98.37,26328.0,26320,26469,9941251.0,77816,10354440,6148,15672,4096,149560,110592
13511,500,0,500,1001,38.3,500,38.3,2307,500,100.96,26326.9,26320,26469,10801178.0,77816,11225505,6148,15672,4096,149560,110592
14528,500,0,500,1039,37.4,538,37.4,2524,538,98.37,26326.1,26320,26469,11661022.0,77816,12074208,6148,15672,4096,149560,110592
15545,500,0,500,1078,38.3,577,38.3,2739,577,100.96,26327.9,26320,26469,12520993.0,77816,12945315,6148,15672,4096,149560,110592
16562,500,0,500,1117,38.3,616,38.3,2954,616,100.95,26325.8,26320,26469,13160224.0,77816,13194002,6148,15672,4096,149560,110592
17579,500,0,500,1155,37.4,654,37.4,3170,654,98.37,26326.5,26320,26469,13191914.0,77816,13194002,6148,15672,4096,149560,110592
18596,500,0,500,1194,38.3,693,38.3,3386,693,100.96,26326.9,26320,26469,13192016.0,77816,13194002,6148,15672,4096,149560,110592
19613,500,0,500,1233,38.3,732,38.3,3601,732,100.95,26325.7,26320,26469,13191827.0,77816,13194002,6148,15672,4096,149560,110592
20630,500,0,500,1271,37.4,770,37.4,3817,770,98.41,26337.7,26320,26469,13191923.0,77816,13194002,6148,15672,4096,149560,110592
21647,500,0,500,1310,38.3,809,38.3,4032,809,101.04,26348.8,26320,26469,13192580.0,77816,13194731,6148,15672,4096,149560,110592
22664,500,0,500,1348,37.4,847,37.4,4249,847,98.55,26375.3,26320,26469,13194023.0,77816,13196438,6084,15672,4096,149560,110592
23681,500,0,500,1387,38.3,886,38.3,4464,886,101.20,26390.4,26320,26489,13196186.0,77816,13198705,6084,15672,4096,149560,110592
24698,500,0,500,1425,37.4,924,37.4,4680,924,98.65,26400.7,26320,26489,13198648.0,77816,13201436,6084,15672,4096,149560,110592
25715,500,0,500,1464,38.3,963,38.3,4895,963,101.29,26413.4,26320,26517,13201728.0,77816,13204587,6084,15672,4096,149560,110592
26732,500,0,500,1502,37.4,1001,37.4,5112,1001,98.73,26423.2,26320,26517,13205373.0,77816,13208236,6084,15672,4096,149560,110592
27749,500,0,500,1540,37.4,1039,37.4,5328,1039,98.80,26441.3,26320,26537,13213696.0,77816,13221712,6084,14440,4096,149340,110592
28766,500,0,500,1578,37.4,1077,37.4,5544,1077,98.83,26449.5,26320,26537,13247881.0,77816,13256102,6084,14440,4096,149340,110592
29783,500,0,500,1616,37.4,1115,37.4,5760,1115,98.91,26471.2,26320,26557,13264889.0,77816,13273876,6084,14312,4096,149340,110592
30801,500,0,500,1654,37.3,1153,37.3,5977,1153,99.04,26532.1,26320,26605,13283005.0,77816,13292345,6084,14312,4096,149340,110592
31819,499,1,500,1691,36.3,1191,37.3,6194,1191,99.10,26549.6,26320,26673,13300637.0,77816,13309541,6084,14312,4096,149340,110592
32837,500,0,500,1730,38.3,1229,37.3,6410,1229,99.15,26560.8,26320,26685,13318631.0,77816,13328366,6084,14312,4096,149340,110592
33856,500,0,500,1768,37.3,1267,37.3,6627,1267,99.09,26571.9,26320,26691,13336728.0,77816,13346422,6084,14312,4096,149340,110592
34875,499,1,500,1805,36.3,1305,37.3,6844,1305,99.13,26583.1,26320,26707,13354941.0,77816,13364450,6084,14312,4096,149340,110592
35895,499,1,500,1843,37.3,1343,37.3,7061,1343,99.08,26594.0,26320,26716,13372883.0,77816,13382171,6084,14312,4096,149340,110592
36915,499,1,500,1881,37.3,1381,37.3,7278,1381,99.11,26604.3,26320,26726,13390365.0,77816,13399761,6084,14312,4096,149340,110592
37935,500,0,500,1919,37.3,1418,36.3,7495,1418,96.55,26616.2,26320,26743,13407498.0,77816,13416602,6084,14312,4096,149340,110592
38956,500,0,500,1957,37.2,1456,37.2,7713,1456,99.10,26626.4,26320,26758,13424526.0,77816,13433857,6084,14312,4096,149340,110592
39978,500,0,500,1995,37.2,1494,37.2,7930,1494,99.04,26637.3,26320,26768,13441976.0,77816,13451515,6084,14312,4096,149340,110592
40999,500,0,500,2033,37.2,1532,37.2,8147,1532,99.18,26648.4,26320,26781,13455978.0,77816,13461575,6084,14312,4096,149340,110592
42021,499,1,500,2071,37.2,1571,38.2,8365,1571,101.72,26657.1,26320,26789,13447617.0,77816,13463151,6084,14312,4096,149340,110592
43038,500,0,500,2110,38.3,1609,37.4,8580,1609,99.63,26663.7,26320,26790,13442159.0,77816,13463151,6084,14312,4096,149340,110592
44055,500,0,500,2148,37.4,1647,37.4,8796,1647,99.68,26676.9,26320,26791,13437686.0,77816,13463151,6084,14312,4096,149340,110592
45072,500,0,500,2186,37.4,1685,37.4,9013,1685,99.71,26685.2,26320,26791,13433164.0,77816,13463151,6084,14312,4096,149340,110592
46089,500,0,500,2224,37.4,1723,37.4,9229,1723,99.78,26705.1,26320,26791,13429368.0,77816,13463151,6084,14312,4096,149340,110592
47106,500,0,500,2262,37.4,1761,37.4,9445,1761,99.81,26712.6,26320,26791,13425746.0,77816,13463151,6084,14312,4096,149340,110592
48123,500,0,500,2300,37.4,1799,37.4,9661,1799,99.87,26727.2,26320,26791,13422035.0,77816,13463151,6084,14312,4096,149340,110592
49140,500,0,500,2338,37.4,1837,37.4,9878,1837,99.94,26747.9,26320,26791,13418517.0,77816,13463151,6084,14312,4096,149340,110592
50157,500,0,500,2376,37.4,1875,37.4,10094,1875,99.95,26748.5,26320,26791,13414966.0,77816,13463151,6084,14312,4096,149340,110592
51174,500,0,500,2414,37.4,1913,37.4,10310,1913,100.03,26770.0,26320,26791,13411544.0,77816,13463151,6084,14312,4096,149340,110592
52191,500,0,500,2452,37.4,1951,37.4,10526,1951,100.07,26781.1,26320,26803,13408512.0,77816,13463151,6084,14312,4096,149340,110592
53208,500,0,500,2490,37.4,1989,37.4,10743,1989,100.08,26784.8,26320,26803,13405114.0,77816,13463151,6084,14312,4096,149340,110592
54225,499,1,500,2527,36.4,2027,37.4,10960,2027,100.19,26814.3,26320,26833,13406214.0,77816,13463151,6084,14312,4096,149340,110592
55245,500,0,500,2565,37.3,2064,36.3,11177,2064,97.26,26811.2,26320,26956,13412538.0,77816,13463151,6084,14312,4096,149340,110592
56262,500,0,500,2602,36.4,2101,36.4,11394,2101,97.58,26820.3,26320,26956,13439109.0,77816,13463151,6084,14312,4096,149340,110592
57279,500,0,500,2639,36.4,2138,36.4,11611,2138,97.64,26838.9,26320,26956,13469819.0,77816,13478351,6084,14312,4096,149340,110592
