esp_uptime_ms,q_used,q_free,q_peak,produced_count,produced_hz,processed_count,processed_hz,dropped,batches,proc_est_pct,batch_us_avg,batch_us_min,batch_us_max,e2e_us_avg,e2e_us_min,e2e_us_max,stack_acq_b,stack_proc_b,stack_mon_b,heap8_free_b,heap8_largest_b
281,1,499,1,1,1.0,0,0.0,0,0,0.00,0.0,4294967295,0,0.0,4294967295,0,6148,15672,5472,201160,110592
1307,1,499,1,257,249.5,248,241.7,0,31,29.95,9912.3,9905,10042,9932.3,9925,10062,6148,15656,4096,200920,110592
2323,0,500,1,511,250.0,504,252.0,0,63,31.21,9907.7,9905,10042,9927.7,9925,10062,6148,15656,4096,200920,110592
3340,0,500,1,766,250.7,760,251.7,0,95,31.18,9909.4,9905,10042,9929.5,9925,10062,6148,15656,4096,200920,110592
4356,0,500,1,1020,250.0,1016,252.0,0,127,31.22,9911.5,9905,10042,9931.7,9925,10062,6148,15656,4096,200920,110592
5372,2,498,2,1274,250.0,1264,244.1,0,158,30.24,9911.8,9905,10042,9932.0,9925,10062,6148,15656,4096,200920,110592
6388,0,500,2,1528,250.0,1520,252.0,0,190,31.40,9971.1,9905,10042,9991.2,9925,10062,6148,15656,4096,200920,110592
7404,0,500,2,1782,250.0,1776,252.0,0,222,31.40,9968.9,9905,10071,9989.0,9925,10091,6148,15656,4096,200920,110592
8420,0,500,2,2036,250.0,2032,252.0,0,254,31.30,9936.6,9905,10071,9956.7,9925,10091,6148,15656,4096,200920,110592
9436,2,498,2,2290,250.0,2280,244.1,0,285,30.33,9939.0,9905,10071,9959.2,9925,10091,6148,15656,4096,200920,110592
10452,0,500,2,2544,250.0,2536,252.0,0,317,31.38,9962.4,9905,10071,9982.5,9925,10091,6148,15656,4096,200920,110592
11468,0,500,2,2798,250.0,2792,252.0,0,349,31.24,9919.9,9905,10071,9940.0,9925,10091,6148,15656,4096,200920,110592
12484,0,500,2,3052,250.0,3048,252.0,0,381,31.47,9992.0,9905,10071,10012.1,9925,10091,6148,15656,4096,200920,110592
13500,2,498,2,3306,250.0,3296,244.1,0,412,30.44,9975.9,9905,10071,9996.1,9925,10091,6148,15656,4096,200920,110592
14516,0,500,2,3560,250.0,3552,252.0,0,444,31.46,9989.7,9905,10071,10009.8,9925,10091,6148,15656,4096,200920,110592
15532,0,500,2,3814,250.0,3808,252.0,0,476,31.30,9936.9,9905,10071,9956.9,9925,10091,6148,15656,4096,200920,110592
16548,0,500,2,4068,250.0,4064,252.0,0,508,31.42,9974.6,9905,10071,9994.6,9925,10091,6148,15656,4096,200920,110592
17564,2,498,2,4322,250.0,4312,244.1,0,539,30.49,9992.1,9905,10071,10012.2,9925,10091,6148,15656,4096,200920,110592
18580,0,500,2,4576,250.0,4568,252.0,0,571,31.41,9972.1,9905,10071,9992.1,9925,10091,6148,15656,4096,200920,110592
19596,0,500,2,4830,250.0,4824,252.0,0,603,31.34,9950.5,9905,10076,9970.6,9925,10096,6148,15656,4096,200920,110592
20612,0,500,2,5084,250.0,5080,252.0,0,635,31.29,9933.5,9905,10076,9953.5,9925,10096,6148,15656,4096,200920,110592
21628,2,498,2,5338,250.0,5328,244.1,0,666,30.24,9910.8,9905,10076,9930.8,9925,10096,6148,15656,4096,200920,110592
22644,0,500,2,5592,250.0,5584,252.0,0,698,31.22,9913.8,9905,10076,9933.8,9925,10096,6084,15656,4096,200920,110592
23660,0,500,2,5846,250.0,5840,252.0,0,730,31.25,9922.3,9905,10076,9942.3,9925,10096,6084,15656,4096,200920,110592
24676,0,500,2,6100,250.0,6096,252.0,0,762,31.28,9930.4,9905,10076,9950.4,9925,10096,6084,15656,4096,200920,110592
25692,2,498,2,6354,250.0,6344,244.1,0,793,30.25,9913.1,9905,10076,9933.1,9925,10096,6084,15656,4096,200920,110592
26708,0,500,2,6608,250.0,6600,252.0,0,825,31.31,9939.3,9905,10076,9959.4,9925,10096,6084,15656,4096,200920,110592
27724,0,500,2,6862,250.0,6856,252.0,0,857,31.33,9946.2,9905,10076,9966.3,9925,10096,6084,15656,4096,200920,110592
28740,0,500,2,7116,250.0,7112,252.0,0,889,31.26,9924.0,9905,10076,9944.0,9925,10096,6084,15656,4096,200856,110592
29756,2,498,2,7370,250.0,7360,244.1,0,920,30.25,9914.9,9905,10076,9935.0,9925,10096,6084,15656,4096,200856,110592
30772,0,500,2,7624,250.0,7616,252.0,0,952,31.47,9992.2,9905,10076,10012.3,9925,10096,6084,15656,4096,200856,110592
31788,0,500,2,7878,250.0,7872,252.0,0,984,31.28,9932.8,9905,10076,9952.9,9925,10096,6084,15656,4096,200856,110592
32804,0,500,2,8132,250.0,8128,252.0,0,1016,31.27,9927.1,9905,10076,9947.1,9925,10096,6084,15656,4096,200856,110592
33820,2,498,2,8386,250.0,8376,244.1,0,1047,30.50,9996.9,9905,10076,10016.9,9925,10096,6084,15656,4096,200856,110592
34836,0,500,2,8640,250.0,8632,252.0,0,1079,31.29,9934.9,9905,10076,9955.0,9925,10096,6084,15656,4096,200856,110592
