esp_uptime_ms,q_used,q_free,q_peak,produced_count,produced_hz,processed_count,processed_hz,dropped,batches,proc_est_pct,batch_us_avg,batch_us_min,batch_us_max,e2e_us_avg,e2e_us_min,e2e_us_max,stack_acq_b,stack_proc_b,stack_mon_b,heap8_free_b,heap8_largest_b
2299,0,500,1,511,250.0,384,252.0,0,3,47.45,241031.0,240790,242587,241050.0,240809,242606,6132,14728,4080,62424,34816
3316,0,500,1,766,250.7,640,251.7,0,5,47.36,240804.5,240790,242587,240823.0,240809,242606,6132,14728,4080,62424,34816
4332,0,500,1,1020,250.0,896,252.0,0,7,47.38,240695.0,240687,242587,240714.0,240706,242606,6132,14728,4080,62424,34816
5348,0,500,1,1274,250.0,1152,252.0,0,9,47.39,240752.0,240687,242587,240771.0,240706,242606,6132,14728,4080,62424,34816
6364,0,500,1,1528,250.0,1408,252.0,0,11,47.39,240747.5,240687,242587,240766.5,240706,242606,6132,14728,4080,62424,34816
7380,0,500,1,1782,250.0,1664,252.0,0,13,47.39,240725.5,240687,242587,240744.5,240706,242606,6132,14728,4080,62424,34816
8396,0,500,1,2036,250.0,1920,252.0,0,15,47.39,240747.5,240687,242587,240766.5,240706,242606,6132,14728,4080,62424,34816
9412,0,500,1,2290,250.0,2176,252.0,0,17,47.40,240814.0,240687,242587,240833.0,240706,242606,6132,14728,4080,62424,34816
10428,0,500,1,2544,250.0,2432,252.0,0,19,47.42,240904.5,240687,242587,240923.5,240706,242606,6132,14728,4080,62424,34816
11444,0,500,1,2798,250.0,2688,252.0,0,21,47.45,241029.0,240687,242587,241048.0,240706,242606,6132,14728,4080,62424,34816
12460,0,500,1,3052,250.0,2944,252.0,0,23,47.47,241140.0,240687,242587,241159.0,240706,242606,6132,14728,4080,62424,34816
13476,0,500,1,3306,250.0,3200,252.0,0,25,47.50,241281.5,240687,242587,241300.5,240706,242606,6132,13944,4080,62204,34816
14492,0,500,1,3560,250.0,3456,252.0,0,27,47.52,241424.5,240687,242587,241443.5,240706,242606,6036,13944,4080,62204,34816
15508,0,500,1,3814,250.0,3712,252.0,0,29,47.55,241549.5,240687,242587,241568.5,240706,242606,6036,13944,4080,62204,34816
16524,0,500,1,4068,250.0,3968,252.0,0,31,47.57,241650.0,240687,242587,241669.0,240706,242606,6036,13944,4080,62204,34816
17540,0,500,1,4322,250.0,4224,252.0,0,33,47.58,241731.0,240687,242587,241750.0,240706,242606,6036,13944,4080,62204,34816
18556,0,500,1,4576,250.0,4480,252.0,0,35,47.59,241760.0,240687,242587,241779.0,240706,242606,6036,13944,4080,62204,34816
19572,0,500,1,4830,250.0,4736,252.0,0,37,47.59,241759.5,240687,242587,241778.5,240706,242606,6036,13944,4080,62204,34816
20588,0,500,1,5084,250.0,4992,252.0,0,39,47.57,241663.0,240687,242587,241682.0,240706,242606,6036,13944,4080,62204,34816
21604,0,500,1,5338,250.0,5248,252.0,0,41,47.59,241753.5,240687,242587,241772.5,240706,242606,6036,13944,4080,62204,34816
22620,0,500,1,5592,250.0,5504,252.0,0,43,47.62,241887.0,240687,242587,241906.0,240706,242606,6036,13944,4080,62204,34816
23636,0,500,1,5846,250.0,5760,252.0,0,45,47.61,241870.5,240687,242587,241889.5,240706,242606,6036,13944,4080,62204,34816
24652,0,500,1,6100,250.0,6016,252.0,0,47,47.59,241770.0,240687,242587,241789.0,240706,242606,6036,13944,4080,62204,34816
