esp_uptime_ms,q_used,q_free,q_peak,produced_count,produced_hz,processed_count,processed_hz,dropped,batches,proc_est_pct,batch_us_avg,batch_us_min,batch_us_max,e2e_us_avg,e2e_us_min,e2e_us_max,stack_acq_b,stack_proc_b,stack_mon_b,heap8_free_b,heap8_largest_b
283,1,499,1,1,1.0,0,0.0,0,0,0.00,0.0,4294967295,0,0.0,4294967295,0,6148,15640,5472,62856,34816
1307,81,419,81,257,249.5,160,155.9,0,10,76.34,78328.5,78240,78800,259567.6,195063,323960,6148,15192,4096,62616,34816
2323,127,373,127,511,250.0,368,204.7,0,23,100.15,78268.3,78240,78800,424147.5,195063,510042,6148,15192,4096,62616,34816
3341,174,326,174,766,250.5,576,204.3,0,36,99.93,78252.7,78240,78800,610057.0,195063,695886,6148,15192,4096,62616,34816
4357,220,280,220,1020,250.0,784,204.7,0,49,100.13,78252.2,78240,78800,795910.6,195063,881751,6148,15192,4096,62616,34816
5374,266,234,266,1274,249.8,992,204.5,0,62,100.04,78262.2,78240,78800,981850.2,195063,1067743,6148,15192,4096,62616,34816
6391,312,188,312,1528,249.8,1200,204.5,0,75,100.11,78313.5,78240,78800,1168115.5,195063,1254399,6148,15192,4096,62520,34816
7408,359,141,359,1783,250.7,1408,204.5,0,88,100.13,78335.4,78240,78800,1354895.1,195063,1441319,6148,15192,4096,62520,34816
8425,405,95,405,2037,249.8,1616,204.5,0,101,100.02,78248.5,78240,78800,1541304.6,195063,1627134,6148,15192,4096,62520,34816
9442,451,49,451,2291,249.8,1824,204.5,0,114,100.05,78268.2,78240,78800,1727161.5,195063,1813196,6148,15192,4096,62520,34816
10459,497,3,497,2545,249.8,2032,204.5,0,127,100.12,78326.6,78240,78800,1913735.8,195063,2000020,6148,15192,4096,62520,34816
11476,498,2,498,2754,205.5,2240,204.5,46,140,100.20,78383.7,78240,78800,2100866.2,195063,2187564,6148,15192,4096,62520,34816
12493,497,3,498,2961,203.5,2448,204.5,93,153,100.28,78446.8,78240,78800,2288760.2,195063,2375957,6148,15192,4096,62520,34816
13510,495,5,498,3167,202.6,2656,204.5,141,166,100.43,78564.2,78240,78800,2447969.0,195063,2467293,6148,15192,4096,62520,34816
14527,493,7,498,3373,202.6,2864,204.5,189,179,100.53,78646.2,78240,78800,2468585.8,195063,2471372,6148,15192,4096,62520,34816
15544,492,8,498,3580,203.5,3072,204.5,237,192,100.69,78768.2,78240,78815,2472097.0,195063,2474553,6148,15192,4096,62520,34816
16561,490,10,498,3786,202.6,3280,204.5,285,205,100.86,78901.5,78240,78942,2475154.2,195063,2477748,6148,15192,4096,62520,34816
17578,487,13,498,3991,201.6,3488,204.5,334,218,101.01,79018.2,78240,79064,2479396.5,195063,2482226,6148,15192,4096,62520,34816
