esp_uptime_ms,q_used,q_free,q_peak,produced_count,produced_hz,processed_count,processed_hz,dropped,batches,proc_est_pct,batch_us_avg,batch_us_min,batch_us_max,e2e_us_avg,e2e_us_min,e2e_us_max,stack_acq_b,stack_proc_b,stack_mon_b,heap8_free_b,heap8_largest_b
283,1,499,1,1,1.0,0,0.0,0,0,0.00,0.0,4294967295,0,0.0,4294967295,0,6148,15608,5472,62856,34816
1307,241,259,241,257,249.5,15,14.6,0,15,82.20,56224.9,56211,56351,598063.8,230700,963754,6148,15240,4096,62616,34816
2323,477,23,477,511,250.0,33,17.7,0,33,99.60,56217.4,56206,56351,1459976.6,230700,1903831,6148,15240,4096,62616,34816
3340,500,0,500,552,40.3,51,17.7,214,51,99.49,56210.7,56203,56351,2399951.0,230700,2843772,6148,15240,4096,62616,34816
4356,500,0,500,570,17.7,69,17.7,450,69,99.58,56205.2,56200,56351,3339819.0,230700,3783612,6148,15240,4096,62616,34816
5372,500,0,500,588,17.7,87,17.7,686,87,99.57,56200.2,56195,56351,4279529.0,230700,4723362,6148,15240,4096,62616,34816
6388,500,0,500,606,17.7,105,17.7,922,105,99.56,56195.2,56189,56351,5219312.0,230700,5663023,6148,15240,4096,62616,34816
7405,500,0,500,624,17.7,123,17.7,1158,123,99.45,56191.1,56188,56351,6158927.5,230700,6602617,6148,15240,4000,62616,34816
8422,500,0,500,642,17.7,141,17.7,1394,141,99.45,56190.9,56188,56351,7098517.5,230700,7542200,6148,15240,4000,62616,34816
9439,500,0,500,660,17.7,159,17.7,1630,159,99.46,56194.2,56188,56351,8038117.5,230700,8481844,6148,15240,4000,62616,34816
10456,500,0,500,678,17.7,177,17.7,1867,177,99.47,56201.4,56188,56351,8977772.0,230700,9421617,6148,15240,4000,62616,34816
11473,500,0,500,696,17.7,195,17.7,2103,195,99.47,56202.9,56188,56351,9917651.0,230700,10361419,6148,15240,4000,62616,34816
12490,500,0,500,715,18.7,214,18.7,2338,214,105.00,56204.0,56188,56351,10883587.0,230700,11353454,6148,15240,4000,62616,34816
13507,500,0,500,733,17.7,232,17.7,2574,232,99.47,56200.4,56188,56351,11849510.0,230700,12293210,6148,15240,4000,62616,34816
14524,500,0,500,751,17.7,250,17.7,2811,250,99.46,56196.8,56188,56351,12789207.0,230700,13232900,6148,15240,4000,62616,34816
15541,500,0,500,769,17.7,268,17.7,3047,268,99.46,56193.7,56188,56351,13728769.0,230700,14172534,6148,15240,4000,62616,34816
16558,500,0,500,787,17.7,286,17.7,3283,286,99.46,56195.3,56188,56351,14668457.0,230700,15112197,6148,15240,4000,62616,34816
17575,500,0,500,805,17.7,304,17.7,3519,304,99.46,56197.4,56188,56351,15608171.0,230700,16051898,6148,15240,4000,62616,34816
18592,500,0,500,823,17.7,322,17.7,3756,322,99.46,56192.2,56188,56351,16547812.0,230700,16991505,6148,15240,4000,62616,34816
19609,500,0,500,841,17.7,340,17.7,3992,340,99.45,56191.9,56188,56351,17487416.0,230700,17931107,6148,15240,4000,62616,34816
20626,500,0,500,859,17.7,358,17.7,4228,358,99.46,56192.2,56188,56351,18426950.0,230700,18870715,6148,15240,4000,62616,34816
21643,500,0,500,877,17.7,376,17.7,4464,376,99.46,56194.4,56188,56351,19366640.0,230700,19810361,6148,15240,4000,62616,34816
22660,500,0,500,896,18.7,395,18.7,4700,395,104.99,56198.3,56188,56351,20332464.0,230700,20802283,6084,15240,4000,62616,34816
23677,500,0,500,914,17.7,413,17.7,4936,413,99.47,56199.0,56188,56351,21298312.0,230700,21742014,6084,15240,4000,62616,34816
24694,500,0,500,932,17.7,431,17.7,5172,431,99.47,56200.3,56188,56351,22237992.0,230700,22681770,6084,15240,4000,62616,34816
25711,500,0,500,950,17.7,449,17.7,5408,449,99.46,56194.8,56188,56351,23177740.0,230700,23621440,6084,15240,4000,62616,34816
26728,500,0,500,968,17.7,467,17.7,5645,467,99.46,56192.6,56188,56351,24117360.0,230700,24561053,6084,15240,4000,62616,34816
27745,500,0,500,986,17.7,485,17.7,5881,485,99.46,56192.3,56188,56351,25056968.0,230700,25500662,6084,15240,4000,62616,34816
28762,500,0,500,1004,17.7,503,17.7,6117,503,99.46,56192.9,56188,56351,25996574.0,230700,26440281,6084,15240,4000,62616,34816
29779,500,0,500,1022,17.7,521,17.7,6353,521,99.46,56192.3,56188,56351,26936124.0,230700,27379890,6084,15240,4000,62616,34816
30796,500,0,500,1040,17.7,539,17.7,6590,539,99.46,56192.8,56188,56351,27856696.0,230700,28155507,6084,15240,4000,62616,34816
