esp_uptime_ms,q_used,q_free,q_peak,produced_count,produced_hz,processed_count,processed_hz,dropped,batches,proc_est_pct,batch_us_avg,batch_us_min,batch_us_max,e2e_us_avg,e2e_us_min,e2e_us_max,stack_acq_b,stack_proc_b,stack_mon_b,heap8_free_b,heap8_largest_b
283,1,499,1,1,1.0,0,0.0,0,0,0.00,0.0,4294967295,0,0.0,4294967295,0,6148,15672,5472,62856,34816
1307,153,347,153,257,249.5,96,93.6,0,12,77.83,66542.6,66503,66841,405096.3,215092,595047,6148,15272,4096,62616,34816
2323,279,221,279,511,250.0,224,126.0,0,28,104.73,66503.2,66486,66841,888520.8,215092,1147524,6148,15272,4096,62616,34816
3341,414,86,414,766,250.5,344,117.9,0,43,97.99,66503.3,66486,66841,1423723.1,215092,1665447,6148,15272,4096,62520,34816
4357,500,0,500,972,202.8,464,118.1,48,58,98.17,66495.9,66486,66841,1941622.6,215092,2183267,6148,15272,4096,62520,34816
5373,500,0,500,1092,118.1,584,118.1,182,73,98.17,66492.8,66486,66841,2459329.0,215092,2701039,6148,15272,4096,62520,34816
6390,495,5,500,1215,120.9,712,125.9,313,89,104.62,66498.1,66486,66841,2994522.2,215092,3253405,6148,15272,4096,62520,34816
7407,500,0,500,1340,122.9,832,118.0,442,104,98.08,66495.7,66486,66841,3529520.5,215092,3771205,6148,15272,4096,62520,34816
8424,500,0,500,1460,118.0,952,118.0,577,119,98.10,66508.6,66486,66841,4031453.2,215092,4178681,6148,15272,4096,62520,34816
9441,493,7,500,1581,119.0,1080,125.9,710,135,104.66,66525.9,66486,66841,4177212.0,215092,4179146,6148,15272,4096,62520,34816
10458,497,3,500,1705,121.9,1200,118.0,840,150,98.10,66510.5,66486,66841,4177607.5,215092,4179476,6148,15272,4096,62520,34816
11475,500,0,500,1828,120.9,1320,118.0,971,165,98.08,66494.9,66486,66841,4177562.2,215092,4179476,6148,15272,4096,62520,34816
12492,500,0,500,1948,118.0,1440,118.0,1106,180,98.08,66500.1,66486,66841,4177561.5,215092,4179576,6148,15272,4096,62520,34816
13509,495,5,500,2071,120.9,1568,125.9,1237,196,104.61,66494.4,66486,66841,4177460.5,215092,4179576,6148,15272,4096,62520,34816
14526,500,0,500,2196,122.9,1688,118.0,1366,211,98.08,66495.5,66486,66841,4177075.2,215092,4179576,6148,15272,4096,62520,34816
15543,500,0,500,2316,118.0,1808,118.0,1500,226,98.08,66498.0,66486,66841,4176645.0,215092,4179576,6148,15272,4096,62520,34816
