esp_uptime_ms,q_used,q_free,q_peak,produced_count,produced_hz,processed_count,processed_hz,dropped,batches,proc_est_pct,batch_us_avg,batch_us_min,batch_us_max,e2e_us_avg,e2e_us_min,e2e_us_max,stack_acq_b,stack_proc_b,stack_mon_b,heap8_free_b,heap8_largest_b
281,1,499,1,1,1.0,0,0.0,0,0,0.00,0.0,4294967295,0,0.0,4294967295,0,6148,15560,5472,201160,110592
1307,1,499,1,257,249.5,240,233.9,0,15,16.99,11622.2,11606,11771,11642.2,11626,11791,6148,15560,4096,200920,110592
2323,0,500,1,511,250.0,496,252.0,0,31,18.28,11609.8,11606,11771,11629.8,11626,11791,6148,15560,4096,200920,110592
3340,0,500,1,766,250.7,752,251.7,0,47,18.27,11612.4,11606,11771,11632.4,11626,11791,6148,15560,4096,200920,110592
4356,0,500,1,1020,250.0,1008,252.0,0,63,18.29,11612.6,11606,11771,11632.7,11626,11791,6148,15560,4096,200920,110592
5372,0,500,1,1274,250.0,1264,252.0,0,79,18.29,11611.6,11606,11771,11631.7,11626,11791,6148,15560,4096,200920,110592
6388,0,500,1,1528,250.0,1520,252.0,0,95,18.38,11672.0,11600,11771,11692.2,11623,11791,6148,15560,4096,200920,110592
7404,0,500,1,1782,250.0,1776,252.0,0,111,18.37,11665.4,11600,11771,11685.6,11623,11791,6148,15560,4096,200920,110592
8420,0,500,1,2036,250.0,2032,252.0,0,127,18.32,11634.6,11600,11771,11654.8,11623,11791,6148,15560,4096,200920,110592
9436,2,498,2,2290,250.0,2272,236.2,0,142,17.18,11638.9,11600,11771,11659.1,11623,11791,6148,15560,4096,200824,110592
10452,0,500,2,2544,250.0,2528,252.0,0,158,18.37,11662.9,11600,11771,11683.0,11623,11791,6148,15560,4096,200824,110592
11468,0,500,2,2798,250.0,2784,252.0,0,174,18.30,11622.0,11600,11771,11642.2,11623,11791,6148,15560,4096,200824,110592
12484,0,500,2,3052,250.0,3040,252.0,0,190,18.42,11693.8,11600,11771,11713.9,11623,11791,6148,15560,4096,200824,110592
13500,0,500,2,3306,250.0,3296,252.0,0,206,18.39,11675.9,11600,11771,11696.0,11623,11791,6148,15560,4096,200824,110592
14516,0,500,2,3560,250.0,3552,252.0,0,222,18.41,11688.1,11600,11771,11708.2,11623,11791,6148,15560,4096,200824,110592
15532,0,500,2,3814,250.0,3808,252.0,0,238,18.32,11633.7,11600,11771,11653.7,11623,11791,6148,15560,4096,200824,110592
16548,0,500,2,4068,250.0,4064,252.0,0,254,18.38,11672.8,11600,11771,11692.8,11623,11791,6148,15560,4096,200824,110592
17564,2,498,2,4322,250.0,4304,236.2,0,269,17.26,11692.3,11600,11771,11712.3,11623,11791,6148,15560,4096,200824,110592
18580,0,500,2,4576,250.0,4560,252.0,0,285,18.38,11672.4,11600,11771,11692.4,11623,11791,6148,15560,4096,200824,110592
19596,0,500,2,4830,250.0,4816,252.0,0,301,18.35,11654.5,11600,11779,11674.5,11623,11799,6148,15560,4096,200824,110592
20612,0,500,2,5084,250.0,5072,252.0,0,317,18.32,11634.2,11600,11779,11654.2,11621,11799,6148,15560,4096,200824,110592
21628,0,500,2,5338,250.0,5328,252.0,0,333,18.29,11611.0,11600,11779,11631.0,11621,11799,6148,15560,4096,200824,110592
22644,0,500,2,5592,250.0,5584,252.0,0,349,18.29,11613.1,11600,11779,11633.1,11621,11799,6084,15560,4096,200824,110592
23660,0,500,2,5846,250.0,5840,252.0,0,365,18.30,11620.1,11600,11779,11640.1,11621,11799,6084,15560,4096,200824,110592
24676,0,500,2,6100,250.0,6096,252.0,0,381,18.31,11627.4,11600,11779,11647.4,11621,11799,6084,15560,4096,200824,110592
25692,2,498,2,6354,250.0,6336,236.2,0,396,17.14,11612.5,11600,11779,11632.5,11621,11799,6084,15560,4096,200824,110592
26708,0,500,2,6608,250.0,6592,252.0,0,412,18.33,11639.1,11600,11779,11659.1,11621,11799,6084,15560,4096,200824,110592
27724,0,500,2,6862,250.0,6848,252.0,0,428,18.35,11650.2,11600,11779,11670.2,11621,11799,6084,15560,4096,200824,110592
28740,0,500,2,7116,250.0,7104,252.0,0,444,18.31,11625.5,11600,11779,11645.5,11621,11799,6084,15560,4096,200824,110592
29756,0,500,2,7370,250.0,7360,252.0,0,460,18.29,11615.8,11600,11779,11635.8,11621,11799,6084,15560,4096,200824,110592
30772,0,500,2,7624,250.0,7616,252.0,0,476,18.41,11691.8,11600,11779,11711.8,11621,11799,6084,15560,4096,200824,110592
31788,0,500,2,7878,250.0,7872,252.0,0,492,18.31,11629.1,11600,11779,11649.1,11621,11799,6084,15560,4096,200824,110592
32804,0,500,2,8132,250.0,8128,252.0,0,508,18.31,11626.3,11600,11779,11646.3,11621,11799,6084,15560,4096,200824,110592
33820,2,498,2,8386,250.0,8368,236.2,0,523,17.27,11697.1,11600,11779,11717.1,11621,11799,6084,15560,4096,200824,110592
34836,0,500,2,8640,250.0,8624,252.0,0,539,18.33,11636.9,11600,11779,11656.9,11621,11799,6084,15560,4096,200824,110592
35852,0,500,2,8894,250.0,8880,252.0,0,555,18.30,11617.8,11600,11779,11637.8,11621,11799,6084,15560,4096,200824,110592
36868,0,500,2,9148,250.0,9136,252.0,0,571,18.42,11697.3,11600,11779,11717.4,11621,11799,6084,15560,4096,200824,110592
37884,0,500,2,9402,250.0,9392,252.0,0,587,18.34,11644.9,11600,11779,11665.1,11621,11799,6084,15560,4096,200824,110592
38900,0,500,2,9656,250.0,9648,252.0,0,603,18.29,11614.6,11600,11779,11634.7,11621,11799,6084,15560,4096,200824,110592
39916,0,500,2,9910,250.0,9904,252.0,0,619,18.42,11696.2,11600,11779,11716.3,11621,11799,6084,15560,4096,200824,110592
40932,0,500,2,10164,250.0,10160,252.0,0,635,18.35,11654.5,11600,11779,11674.6,11621,11799,6084,15560,4096,200824,110592
41949,2,498,2,10418,249.8,10400,236.0,0,650,17.21,11669.3,11600,11779,11689.5,11621,11799,6084,15560,4096,200824,110592
42965,0,500,2,10672,250.0,10656,252.0,0,666,18.32,11634.2,11600,11779,11654.3,11621,11799,6084,15560,4096,200824,110592
43981,0,500,2,10926,250.0,10912,252.0,0,682,18.34,11647.8,11600,11779,11667.9,11621,11799,6084,15560,4096,200824,110592
