esp_uptime_ms,q_used,q_free,q_peak,produced_count,produced_hz,processed_count,processed_hz,dropped,batches,proc_est_pct,batch_us_avg,batch_us_min,batch_us_max,e2e_us_avg,e2e_us_min,e2e_us_max,stack_acq_b,stack_proc_b,stack_mon_b,heap8_free_b,heap8_largest_b
283,1,499,1,1,1.0,0,0.0,0,0,0.00,0.0,4294967295,0,0.0,4294967295,0,6148,15576,5472,62856,34816
1307,1,499,1,257,249.5,224,218.3,0,7,69.54,101919.7,101705,102587,113388.7,101725,154892,6148,15128,4096,62616,34816
2323,0,500,1,511,250.0,480,252.0,0,15,80.10,101723.5,101687,102587,101743.5,101707,154892,6148,15128,4096,62616,34816
3340,0,500,1,766,250.7,736,251.7,0,23,80.01,101713.5,101687,102587,101733.5,101707,154892,6148,15128,4096,62616,34816
4356,0,500,1,1020,250.0,992,252.0,0,31,80.08,101705.5,101686,102587,101725.8,101707,154892,6148,15128,4096,62616,34816
5373,0,500,1,1274,249.8,1248,251.7,0,39,80.05,101757.9,101686,102587,101778.1,101707,154892,6148,15128,4096,62520,34816
6389,24,476,24,1528,250.0,1472,220.5,0,46,70.11,101766.3,101686,102587,101786.7,101707,154892,6148,15128,4096,62520,34816
7406,22,478,24,1782,249.8,1728,251.7,0,54,80.00,101695.1,101683,102587,101715.4,101705,154892,6148,15128,4096,62520,34816
8423,20,480,24,2036,249.8,1984,251.7,0,62,80.04,101754.5,101683,102587,101774.8,101705,154892,6148,15128,4096,62520,34816
9440,19,481,24,2291,250.7,2240,251.7,0,70,80.10,101825.1,101683,102587,101845.4,101705,154892,6148,15128,4096,62520,34816
10457,17,483,24,2545,249.8,2496,251.7,0,78,80.17,101912.1,101683,102587,101932.5,101705,154892,6148,15128,4096,62520,34816
11474,15,485,24,2799,249.8,2752,251.7,0,86,80.27,102045.5,101683,102587,102065.8,101705,154892,6148,15128,4096,62520,34816
12491,13,487,24,3053,249.8,3008,251.7,0,94,80.36,102154.6,101683,102587,102174.9,101705,154892,6148,15128,4096,62520,34816
13508,12,488,24,3308,250.7,3264,251.7,0,102,80.47,102300.5,101683,102587,102320.8,101705,154892,6148,15128,4096,62520,34816
14525,10,490,24,3562,249.8,3520,251.7,0,110,80.58,102432.0,101683,102587,102452.2,101705,154892,6148,15128,4096,62520,34816
15542,8,492,24,3816,249.8,3776,251.7,0,118,80.68,102563.0,101683,102604,102583.2,101705,154892,6148,15128,4096,62520,34816
16559,6,494,24,4070,249.8,4032,251.7,0,126,80.76,102668.4,101683,102707,102688.4,101705,154892,6148,15128,4096,62520,34816
17576,5,495,24,4325,250.7,4288,251.7,0,134,80.81,102735.8,101683,102759,102755.8,101705,154892,6148,15128,4096,62520,34816
18593,3,497,24,4579,249.8,4544,251.7,0,142,80.85,102782.5,101683,102831,102802.6,101705,154892,6148,15128,4096,62520,34816
19610,1,499,24,4833,249.8,4800,251.7,0,150,80.82,102747.4,101683,102856,102767.4,101705,154892,6148,15128,4096,62520,34816
20627,0,500,24,5087,249.8,5056,251.7,0,158,80.77,102677.6,101683,102856,102697.6,101705,154892,6148,15128,4096,62520,34816
21644,0,500,24,5342,250.7,5312,251.7,0,166,80.84,102772.2,101683,102856,102792.4,101705,154892,6148,15128,4096,62520,34816
22661,0,500,24,5596,249.8,5568,251.7,0,174,80.94,102896.2,101683,102901,102916.4,101705,154892,6084,15128,4096,62520,34816
23678,0,500,24,5850,249.8,5824,251.7,0,182,80.91,102853.1,101683,102901,102873.1,101705,154892,6084,15128,4096,62520,34816
24695,24,476,24,6104,249.8,6048,220.3,0,189,70.75,102783.9,101683,102901,102803.9,101705,154892,6084,15128,4096,62520,34816
25712,23,477,24,6359,250.7,6304,251.7,0,197,80.91,102857.2,101683,102901,102877.2,101705,154892,6084,15128,4096,62520,34816
26729,21,479,24,6613,249.8,6560,251.7,0,205,80.92,102875.1,101683,102901,102895.2,101705,154892,6084,15128,4096,62520,34816
27746,19,481,24,6867,249.8,6816,251.7,0,213,80.85,102783.8,101683,102910,102803.9,101705,154892,6084,15128,4096,62520,34816
28763,17,483,24,7121,249.8,7072,251.7,0,221,80.88,102814.1,101683,102910,102834.2,101705,154892,6084,15128,4096,62520,34816
29780,16,484,24,7376,250.7,7328,251.7,0,229,80.85,102786.8,101683,102910,102806.8,101705,154892,6084,15128,4096,62520,34816
30797,14,486,24,7630,249.8,7584,251.7,0,237,80.83,102757.0,101683,102910,102777.1,101705,154892,6084,15128,4096,62520,34816
31814,12,488,24,7884,249.8,7840,251.7,0,245,80.79,102704.9,101683,102910,102724.9,101705,154892,6084,15128,4096,62520,34816
32831,10,490,24,8138,249.8,8096,251.7,0,253,80.74,102646.8,101683,102910,102666.8,101705,154892,6084,15128,4096,62520,34816
33848,9,491,24,8393,250.7,8352,251.7,0,261,80.78,102696.1,101683,102910,102716.2,101705,154892,6084,15128,4096,62520,34816
34865,7,493,24,8647,249.8,8608,251.7,0,269,80.79,102710.0,101683,102910,102730.0,101705,154892,6084,15128,4096,62520,34816
35882,5,495,24,8901,249.8,8864,251.7,0,277,80.86,102793.1,101683,102910,102813.1,101705,154892,6084,15128,4096,62520,34816
36899,3,497,24,9155,249.8,9120,251.7,0,285,80.92,102875.4,101683,102910,102895.4,101705,154892,6084,15128,4096,62520,34816
37916,2,498,24,9410,250.7,9376,251.7,0,293,80.92,102875.2,101683,102981,102895.2,101705,154892,6084,15128,4096,62520,34816
38933,0,500,24,9664,249.8,9632,251.7,0,301,80.89,102830.9,101683,102981,102850.9,101705,154892,6084,15128,4096,62520,34816
39950,0,500,24,9918,249.8,9888,251.7,0,309,80.93,102882.6,101683,102981,102902.6,101705,154892,6084,15128,4096,62520,34816
40967,0,500,24,10172,249.8,10144,251.7,0,317,80.94,102890.4,101683,102981,102910.8,101705,154892,6084,15128,4096,62520,34816
41984,0,500,24,10427,250.7,10400,251.7,0,325,80.89,102830.8,101683,102981,102851.1,101705,154892,6084,15128,4096,62520,34816
43001,25,475,25,10681,249.8,10624,220.3,0,332,70.81,102877.4,101683,102981,102897.7,101705,154892,6084,15128,4096,62520,34816
44018,23,477,25,10935,249.8,10880,251.7,0,340,80.91,102860.2,101683,102981,102880.6,101705,154892,6084,15128,4096,62520,34816
45035,21,479,25,11189,249.8,11136,251.7,0,348,80.90,102843.1,101683,102981,102863.5,101705,154892,6084,15128,4096,62520,34816
46052,20,480,25,11444,250.7,11392,251.7,0,356,80.91,102859.4,101683,102981,102879.8,101705,154892,6084,15128,4096,62520,34816
47069,18,482,25,11698,249.8,11648,251.7,0,364,80.94,102893.6,101683,102981,102914.0,101705,154892,6084,15128,4096,62520,34816
48086,16,484,25,11952,249.8,11904,251.7,0,372,80.86,102795.8,101683,102981,102816.1,101705,154892,6084,15128,4096,62520,34816
49103,14,486,25,12206,249.8,12160,251.7,0,380,80.83,102755.8,101683,102981,102776.1,101705,154892,6084,15128,4096,62520,34816
50120,13,487,25,12461,250.7,12416,251.7,0,388,80.90,102842.5,101683,102981,102862.9,101705,154892,6084,15128,4096,62520,34816
51137,11,489,25,12715,249.8,12672,251.7,0,396,80.87,102808.8,101683,102981,102829.0,101705,154892,6084,15128,4096,62520,34816
52154,9,491,25,12969,249.8,12928,251.7,0,404,80.84,102769.5,101683,102981,102790.0,101705,154892,6084,15128,4096,62520,34816
53172,8,492,25,13224,250.5,13184,251.5,0,412,80.75,102759.1,101683,102981,102779.5,101705,154892,6052,15128,4096,62520,34816
54189,6,494,25,13478,249.8,13440,251.7,0,420,80.71,102603.9,101683,102981,102623.9,101705,154892,6052,15128,4096,62520,34816
55206,4,496,25,13732,249.8,13696,251.7,0,428,80.61,102481.0,101683,102981,102501.0,101705,154892,6052,15128,4096,62520,34816
56223,2,498,25,13986,249.8,13952,251.7,0,436,80.42,102234.0,101683,102981,102254.0,101705,154892,6052,15128,4096,62520,34816
57240,1,499,25,14241,250.7,14208,251.7,0,444,80.38,102187.0,101683,102981,102207.0,101705,154892,6052,15128,4096,62520,34816
58257,0,500,25,14495,249.8,14464,251.7,0,452,80.32,102110.4,101683,102981,102130.4,101705,154892,6052,15128,4096,62520,34816
59274,0,500,25,14749,249.8,14720,251.7,0,460,80.39,102201.8,101683,102981,102221.8,101705,154892,6052,15128,4096,62520,34816
60291,0,500,25,15003,249.8,14976,251.7,0,468,80.23,101989.0,101683,102981,102009.0,101705,154892,6052,15128,4096,62520,34816
61308,0,500,25,15258,250.7,15232,251.7,0,476,80.20,101949.2,101683,102981,101969.2,101705,154892,6052,15128,4096,62520,34816
62325,24,476,25,15512,249.8,15456,220.3,0,483,70.16,101935.9,101683,102981,101955.9,101705,154892,6052,15128,4096,62520,34816
63342,22,478,25,15766,249.8,15712,251.7,0,491,80.23,101989.4,101683,102981,102009.4,101705,154892,6052,15128,4096,62520,34816
64359,20,480,25,16020,249.8,15968,251.7,0,499,80.29,102066.2,101683,102981,102086.2,101705,154892,6052,15128,4096,62520,34816
65376,19,481,25,16275,250.7,16224,251.7,0,507,80.35,102143.9,101683,102981,102163.9,101705,154892,6052,15128,4096,62520,34816
66393,17,483,25,16529,249.8,16480,251.7,0,515,80.48,102304.2,101683,102981,102324.2,101705,154892,6052,15128,4096,62520,34816
67410,15,485,25,16783,249.8,16736,251.7,0,523,80.30,102082.4,101683,102981,102102.4,101705,154892,6052,15128,4096,62520,34816
68427,13,487,25,17037,249.8,16992,251.7,0,531,80.02,101726.6,101683,102981,101746.6,101703,154892,6052,15128,4096,62520,34816
69444,12,488,25,17292,250.7,17248,251.7,0,539,80.07,101783.5,101683,102981,101803.5,101703,154892,6052,15128,4096,62520,34816
70461,10,490,25,17546,249.8,17504,251.7,0,547,80.21,101970.5,101683,102981,101990.5,101703,154892,6052,15128,4096,62520,34816
71478,8,492,25,17800,249.8,17760,251.7,0,555,80.61,102472.1,101683,102981,102492.1,101703,154892,6052,15128,4096,62520,34816
72495,6,494,25,18054,249.8,18016,251.7,0,563,80.90,102841.0,101683,102981,102861.0,101703,154892,6052,15128,4096,62520,34816
73512,5,495,25,18309,250.7,18272,251.7,0,571,80.83,102755.6,101683,102981,102775.6,101703,154892,6052,15128,4096,62520,34816
74529,3,497,25,18563,249.8,18528,251.7,0,579,80.85,102786.6,101683,102981,102806.6,101703,154892,6052,15128,4096,62520,34816
75546,1,499,25,18817,249.8,18784,251.7,0,587,80.82,102740.5,101683,102981,102760.5,101703,154892,6052,15128,4096,62520,34816
76563,0,500,25,19071,249.8,19040,251.7,0,595,80.72,102614.9,101683,102981,102634.9,101703,154892,6052,15128,4096,62520,34816
77580,0,500,25,19326,250.7,19296,251.7,0,603,80.64,102516.4,101683,102981,102536.4,101703,154892,6052,15128,4096,62520,34816
78597,0,500,25,19580,249.8,19552,251.7,0,611,80.70,102592.2,101683,102981,102612.5,101703,154892,6052,15128,4096,62520,34816
79614,0,500,25,19834,249.8,19808,251.7,0,619,80.81,102727.4,101683,102981,102747.8,101703,154892,6052,15128,4096,62520,34816
80631,24,476,25,20088,249.8,20032,220.3,0,626,70.72,102752.7,101683,102981,102773.1,101703,154892,6052,15128,4096,62520,34816
81648,23,477,25,20343,250.7,20288,251.7,0,634,80.77,102682.0,101683,102981,102702.4,101703,154892,6052,15128,4096,62520,34816
82665,21,479,25,20597,249.8,20544,251.7,0,642,80.83,102756.1,101683,102981,102776.5,101703,154892,6052,15128,4096,62520,34816
83682,19,481,25,20851,249.8,20800,251.7,0,650,80.91,102862.0,101683,102981,102882.4,101703,154892,6052,15128,4096,62520,34816
84699,17,483,25,21105,249.8,21056,251.7,0,658,80.93,102883.8,101683,102981,102904.1,101703,154892,6052,15128,4096,62520,34816
85716,16,484,25,21360,250.7,21312,251.7,0,666,80.93,102879.6,101683,102981,102899.9,101703,154892,6052,15128,4096,62520,34816
86733,14,486,25,21614,249.8,21568,251.7,0,674,80.87,102808.5,101683,102981,102828.9,101703,154892,6052,15128,4096,62520,34816
87750,12,488,25,21868,249.8,21824,251.7,0,682,80.77,102674.9,101683,102981,102695.2,101703,154892,6052,15128,4096,62520,34816
88767,10,490,25,22122,249.8,22080,251.7,0,690,80.82,102742.6,101683,102981,102763.0,101703,154892,6052,15128,4096,62520,34816
89784,9,491,25,22377,250.7,22336,251.7,0,698,80.84,102770.9,101683,102981,102791.2,101703,154892,6052,15128,4096,62520,34816
90801,7,493,25,22631,249.8,22592,251.7,0,706,80.68,102558.5,101683,102981,102578.5,101703,154892,6052,15128,4096,62520,34816
91818,5,495,25,22885,249.8,22848,251.7,0,714,80.53,102370.6,101683,102981,102390.6,101703,154892,6052,15128,4096,62520,34816
92835,3,497,25,23139,249.8,23104,251.7,0,722,80.67,102551.1,101683,102981,102571.1,101703,154892,6052,15128,4096,62520,34816
93852,2,498,25,23394,250.7,23360,251.7,0,730,80.69,102580.8,101683,102981,102600.8,101703,154892,6052,15128,4096,62520,34816
