esp_uptime_ms,q_used,q_free,q_peak,produced_count,produced_hz,processed_count,processed_hz,dropped,batches,proc_est_pct,batch_us_avg,batch_us_min,batch_us_max,e2e_us_avg,e2e_us_min,e2e_us_max,stack_acq_b,stack_proc_b,stack_mon_b,heap8_free_b,heap8_largest_b
281,1,499,1,1,1.0,0,0.0,0,0,0.00,0.0,4294967295,0,0.0,4294967295,0,6148,15640,5472,149896,110592
1307,1,499,1,257,249.5,240,233.9,0,15,53.56,36634.1,36595,36911,36654.1,36615,36931,6148,15624,4096,149656,110592
2323,0,500,1,511,250.0,496,252.0,0,31,57.65,36607.4,36595,36911,36627.4,36615,36931,6148,15624,4096,149656,110592
3340,0,500,1,766,250.7,752,251.7,0,47,57.59,36605.8,36595,36911,36625.8,36615,36931,6148,15624,4096,149656,110592
4356,0,500,1,1020,250.0,1008,252.0,0,63,57.66,36615.3,36595,36911,36635.4,36615,36931,6148,15624,4096,149560,110592
5372,0,500,1,1274,250.0,1264,252.0,0,79,57.72,36650.1,36595,36911,36670.2,36615,36931,6148,15624,4096,149560,110592
6388,8,492,8,1528,250.0,1504,236.2,0,94,54.13,36662.6,36595,36911,36682.7,36615,36931,6148,15624,4096,149560,110592
7404,6,494,8,1782,250.0,1760,252.0,0,110,57.72,36653.1,36595,36911,36673.2,36615,36931,6148,15624,4096,149560,110592
8420,4,496,8,2036,250.0,2016,252.0,0,126,57.93,36786.2,36595,36911,36806.4,36615,36931,6148,15624,4096,149560,110592
9436,2,498,8,2290,250.0,2272,252.0,0,142,58.06,36867.8,36595,36914,36887.9,36615,36934,6148,15624,4096,149560,110592
10452,0,500,8,2544,250.0,2528,252.0,0,158,58.12,36909.2,36595,36969,36929.4,36615,36989,6148,15624,4096,149560,110592
11468,0,500,8,2798,250.0,2784,252.0,0,174,58.31,37028.6,36595,37083,37048.7,36615,37103,6148,15624,4096,149560,110592
12484,0,500,8,3052,250.0,3040,252.0,0,190,58.43,37102.6,36595,37115,37122.8,36615,37135,6148,15624,4096,149560,110592
13500,0,500,8,3306,250.0,3296,252.0,0,206,58.38,37074.1,36595,37115,37094.2,36615,37135,6148,15624,4096,149560,110592
14516,8,492,8,3560,250.0,3536,236.2,0,221,54.71,37055.4,36595,37115,37075.5,36615,37135,6148,15624,4096,149560,110592
15532,6,494,8,3814,250.0,3792,252.0,0,237,58.39,37080.0,36595,37115,37100.1,36615,37135,6148,15624,4096,149560,110592
16548,4,496,8,4068,250.0,4048,252.0,0,253,58.40,37087.1,36595,37115,37107.1,36615,37135,6148,15624,4096,149560,110592
17564,2,498,8,4322,250.0,4304,252.0,0,269,58.37,37066.4,36595,37118,37086.4,36615,37138,6148,15624,4096,149560,110592
18580,0,500,8,4576,250.0,4560,252.0,0,285,58.44,37111.8,36595,37193,37131.8,36615,37213,6148,15624,4096,149560,110592
19596,0,500,8,4830,250.0,4816,252.0,0,301,58.43,37100.6,36595,37219,37120.6,36615,37239,6148,15624,4096,149560,110592
20612,0,500,8,5084,250.0,5072,252.0,0,317,58.23,36977.9,36595,37219,36997.9,36615,37239,6148,15624,4096,149560,110592
21628,0,500,8,5338,250.0,5328,252.0,0,333,58.10,36891.8,36595,37219,36911.8,36615,37239,6148,15624,4096,149560,110592
22644,8,492,8,5592,250.0,5568,236.2,0,348,54.49,36909.7,36595,37219,36929.7,36615,37239,6084,15624,4096,149560,110592
23660,6,494,8,5846,250.0,5824,252.0,0,364,58.06,36867.2,36595,37219,36887.2,36615,37239,6084,15624,4096,149560,110592
24676,4,496,8,6100,250.0,6080,252.0,0,380,58.07,36874.0,36595,37219,36894.0,36615,37239,6084,15624,4096,149560,110592
25692,2,498,8,6354,250.0,6336,252.0,0,396,58.23,36978.4,36595,37219,36998.4,36615,37239,6084,15624,4096,149560,110592
26708,0,500,8,6608,250.0,6592,252.0,0,412,58.38,37074.2,36595,37219,37094.2,36615,37239,6084,15624,4096,149560,110592
27724,0,500,8,6862,250.0,6848,252.0,0,428,58.35,37049.8,36595,37219,37069.8,36615,37239,6084,15624,4096,149560,110592
28740,0,500,8,7116,250.0,7104,252.0,0,444,58.28,37004.8,36595,37219,37024.8,36615,37239,6084,15624,4096,149560,110592
29756,0,500,8,7370,250.0,7360,252.0,0,460,58.35,37051.5,36595,37219,37071.5,36615,37239,6084,15624,4096,149560,110592
30772,8,492,8,7624,250.0,7600,236.2,0,475,54.77,37095.5,36595,37219,37115.5,36615,37239,6084,15624,4096,149560,110592
31788,6,494,8,7878,250.0,7856,252.0,0,491,58.29,37013.9,36595,37219,37033.9,36615,37239,6084,15624,4096,149560,110592
32804,4,496,8,8132,250.0,8112,252.0,0,507,58.35,37055.0,36595,37219,37075.0,36615,37239,6084,15624,4096,149560,110592
33820,2,498,8,8386,250.0,8368,252.0,0,523,58.25,36987.8,36595,37219,37007.8,36615,37239,6084,15624,4096,149560,110592
34836,0,500,8,8640,250.0,8624,252.0,0,539,58.29,37011.1,36595,37219,37031.1,36615,37239,6084,15624,4096,149560,110592
35852,0,500,8,8894,250.0,8880,252.0,0,555,58.37,37065.7,36595,37219,37085.8,36615,37239,6084,15624,4096,149560,110592
36868,0,500,8,9148,250.0,9136,252.0,0,571,58.44,37111.8,36595,37219,37132.0,36615,37239,6084,15624,4096,149560,110592
37884,0,500,8,9402,250.0,9392,252.0,0,587,58.37,37061.9,36595,37219,37082.1,36615,37239,6084,15624,4096,149560,110592
38900,8,492,8,9656,250.0,9632,236.2,0,602,54.70,37049.7,36595,37219,37069.9,36615,37239,6084,15624,4096,149560,110592
39916,6,494,8,9910,250.0,9888,252.0,0,618,58.43,37105.1,36595,37219,37125.2,36615,37239,6084,15624,4096,149560,110592
40932,4,496,8,10164,250.0,10144,252.0,0,634,58.35,37051.3,36595,37219,37071.5,36615,37239,6084,15624,4096,149560,110592
41949,2,498,8,10418,249.8,10400,251.7,0,650,58.27,37040.1,36595,37219,37060.2,36615,37239,6084,15624,4096,149560,110592
42965,0,500,8,10672,250.0,10656,252.0,0,666,58.36,37056.1,36595,37219,37076.2,36615,37239,6084,15624,4096,149560,110592
43981,0,500,8,10926,250.0,10912,252.0,0,682,58.16,36933.0,36595,37219,36953.1,36615,37239,6084,15624,4096,149560,110592
44997,0,500,8,11180,250.0,11168,252.0,0,698,58.19,36949.0,36595,37219,36969.1,36615,37239,6084,15624,4096,149560,110592
46013,0,500,8,11434,250.0,11424,252.0,0,714,58.02,36840.6,36595,37219,36860.7,36615,37239,6084,15624,4096,149560,110592
47030,8,492,8,11688,249.8,11664,236.0,0,729,54.30,36814.9,36595,37219,36835.1,36615,37239,6084,15624,4096,149560,110592
48047,6,494,8,11942,249.8,11920,251.7,0,745,57.95,36835.1,36595,37219,36855.1,36615,37239,6084,15624,4096,149560,110592
49064,5,495,8,12197,250.7,12176,251.7,0,761,58.00,36864.0,36595,37219,36884.1,36615,37239,6084,15624,4096,149560,110592
